<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.14	1.21346	1.21763	1.21151	1.21426	87422	0	9
2020.12.15	1.21434	1.21685	1.21207	1.21493	88192	0	9
2020.12.16	1.21493	1.22118	1.21245	1.21981	119332	0	9
2020.12.17	1.21981	1.22723	1.21893	1.22672	95895	0	9
2020.12.18	1.22671	1.22708	1.22251	1.22536	85004	0	9
2020.12.21	1.22167	1.22524	1.21293	1.22402	163728	0	9
2020.12.22	1.22402	1.22566	1.21517	1.21604	118782	0	9
2020.12.23	1.21604	1.22206	1.21534	1.21841	111751	0	9
2020.12.24	1.21841	1.22152	1.21766	1.21850	63214	0	9
2020.12.28	1.21786	1.22499	1.21638	1.22147	98102	0	9
2020.12.29	1.22159	1.22748	1.22063	1.22478	94582	0	9
2020.12.30	1.22470	1.23097	1.22461	1.22939	106403	0	9
2020.12.31	1.22953	1.23090	1.22087	1.22133	103507	0	9
2021.01.04	1.22372	1.23094	1.22272	1.22448	148744	0	9
2021.01.05	1.22480	1.23052	1.22406	1.22900	138435	0	9
2021.01.06	1.22937	1.23491	1.22653	1.23251	224117	0	9
2021.01.07	1.23249	1.23440	1.22446	1.22702	158231	0	9
2021.01.08	1.22702	1.22842	1.21925	1.22186	185748	0	9
2021.01.11	1.22151	1.22222	1.21318	1.21507	129775	0	9
2021.01.12	1.21507	1.22092	1.21367	1.22061	119892	0	9
2021.01.13	1.22061	1.22224	1.21395	1.21569	119280	0	9
2021.01.14	1.21569	1.21780	1.21106	1.21515	134762	0	9
2021.01.15	1.21515	1.21621	1.20745	1.20755	115299	0	9
2021.01.18	1.20813	1.20864	1.20531	1.20745	85404	0	9
2021.01.19	1.20745	1.21446	1.20735	1.21283	100867	0	9
2021.01.20	1.21281	1.21579	1.20762	1.21056	108614	0	9
2021.01.21	1.21054	1.21728	1.21027	1.21600	124361	0	9
2021.01.22	1.21602	1.21892	1.21511	1.21707	106311	0	9
2021.01.25	1.21695	1.21830	1.21155	1.21383	123830	0	9
2021.01.26	1.21369	1.21755	1.21073	1.21593	123391	0	9
2021.01.27	1.21593	1.21694	1.20580	1.21094	176685	0	9
2021.01.28	1.21094	1.21419	1.20801	1.21191	167312	0	9
2021.01.29	1.21175	1.21554	1.20941	1.21374	175542	0	9
2021.02.01	1.21301	1.21361	1.20556	1.20593	141365	0	9
2021.02.02	1.20593	1.20873	1.20111	1.20431	127199	0	9
2021.02.03	1.20429	1.20497	1.20035	1.20349	109068	0	9
2021.02.04	1.20351	1.20423	1.19571	1.19580	112057	0	9
2021.02.05	1.19580	1.20494	1.19517	1.20479	114113	0	9
2021.02.08	1.20366	1.20655	1.20193	1.20425	93764	0	9
2021.02.09	1.20425	1.21213	1.20420	1.21181	112759	0	9
2021.02.10	1.21178	1.21435	1.21082	1.21172	110526	0	9
2021.02.11	1.21167	1.21490	1.21131	1.21287	76150	0	9
2021.02.12	1.21285	1.21344	1.20810	1.21178	84749	0	9
2021.02.15	1.21240	1.21447	1.21161	1.21271	61677	0	9
2021.02.16	1.21265	1.21690	1.20945	1.21060	100829	0	9
2021.02.17	1.21059	1.21077	1.20228	1.20304	107871	0	9
2021.02.18	1.20304	1.20941	1.20304	1.20895	97907	0	9
2021.02.19	1.20895	1.21440	1.20818	1.21166	94100	0	9
2021.02.22	1.21132	1.21689	1.20908	1.21523	117710	0	9
2021.02.23	1.21510	1.21796	1.21349	1.21492	117657	0	9
2021.02.24	1.21492	1.21741	1.21087	1.21605	154788	0	9
2021.02.25	1.21605	1.22427	1.21555	1.21685	210301	0	9
