<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.09	08:00:00	1.11177	1.11185	1.11142	1.11143	343	0	9
2020.01.09	08:30:00	1.11142	1.11152	1.11107	1.11118	522	0	9
2020.01.09	09:00:00	1.11120	1.11160	1.11106	1.11152	775	0	9
2020.01.09	09:30:00	1.11152	1.11199	1.11126	1.11146	891	0	8
2020.01.09	10:00:00	1.11148	1.11158	1.11046	1.11112	1112	0	9
2020.01.09	10:30:00	1.11112	1.11172	1.11101	1.11168	679	0	8
2020.01.09	11:00:00	1.11167	1.11185	1.11098	1.11100	1001	0	8
2020.01.09	11:30:00	1.11101	1.11106	1.10979	1.10988	1395	0	2
2020.01.09	12:00:00	1.10988	1.11034	1.10961	1.11032	769	0	9
2020.01.09	12:30:00	1.11034	1.11113	1.11026	1.11092	691	0	8
2020.01.09	13:00:00	1.11092	1.11122	1.11081	1.11096	556	0	9
2020.01.09	13:30:00	1.11096	1.11102	1.11029	1.11041	614	0	9
2020.01.09	14:00:00	1.11042	1.11122	1.11028	1.11105	847	0	7
2020.01.09	14:30:00	1.11108	1.11161	1.11101	1.11131	818	0	8
2020.01.09	15:00:00	1.11130	1.11138	1.11052	1.11109	968	0	7
2020.01.09	15:30:00	1.11109	1.11169	1.11105	1.11144	911	0	7
2020.01.09	16:00:00	1.11144	1.11144	1.11034	1.11059	829	0	8
2020.01.09	16:30:00	1.11059	1.11096	1.11042	1.11077	689	0	7
2020.01.09	17:00:00	1.11076	1.11102	1.11018	1.11058	766	0	8
2020.01.09	17:30:00	1.11058	1.11059	1.10925	1.11018	1365	0	5
2020.01.09	18:00:00	1.11016	1.11019	1.10934	1.10974	965	0	7
2020.01.09	18:30:00	1.10974	1.11056	1.10971	1.11055	757	0	7
2020.01.09	19:00:00	1.11050	1.11092	1.11034	1.11088	560	0	8
2020.01.09	19:30:00	1.11087	1.11109	1.11041	1.11042	499	0	7
2020.01.09	20:00:00	1.11042	1.11082	1.11029	1.11067	622	0	7
2020.01.09	20:30:00	1.11067	1.11077	1.11041	1.11045	558	0	7
2020.01.09	21:00:00	1.11046	1.11093	1.11045	1.11083	302	0	8
2020.01.09	21:30:00	1.11083	1.11089	1.11054	1.11055	353	0	7
2020.01.09	22:00:00	1.11055	1.11068	1.11044	1.11050	319	0	8
2020.01.09	22:30:00	1.11049	1.11062	1.11035	1.11057	347	0	8
2020.01.09	23:00:00	1.11058	1.11065	1.11029	1.11035	202	0	9
2020.01.09	23:30:00	1.11034	1.11065	1.11034	1.11059	189	0	9
2020.01.10	00:00:00	1.11040	1.11063	1.10998	1.11043	207	0	8
2020.01.10	00:30:00	1.11043	1.11062	1.11033	1.11062	163	0	11
2020.01.10	01:00:00	1.11062	1.11075	1.11058	1.11065	167	0	8
2020.01.10	01:30:00	1.11064	1.11089	1.11059	1.11088	155	0	9
2020.01.10	02:00:00	1.11087	1.11089	1.11061	1.11066	209	0	7
2020.01.10	02:30:00	1.11067	1.11087	1.11056	1.11065	412	0	7
2020.01.10	03:00:00	1.11064	1.11067	1.11051	1.11058	300	0	8
2020.01.10	03:30:00	1.11059	1.11068	1.11017	1.11037	278	0	8
2020.01.10	04:00:00	1.11039	1.11048	1.11030	1.11039	307	0	9
2020.01.10	04:30:00	1.11039	1.11078	1.11031	1.11075	201	0	9
2020.01.10	05:00:00	1.11075	1.11082	1.11066	1.11068	167	0	10
2020.01.10	05:30:00	1.11068	1.11077	1.11067	1.11076	140	0	8
2020.01.10	06:00:00	1.11077	1.11085	1.11059	1.11081	231	0	9
2020.01.10	06:30:00	1.11081	1.11106	1.11065	1.11069	167	0	7
2020.01.10	07:00:00	1.11070	1.11086	1.11066	1.11085	196	0	9
2020.01.10	07:30:00	1.11085	1.11094	1.11075	1.11085	237	0	8
2020.01.10	08:00:00	1.11084	1.11095	1.11070	1.11078	233	0	9
2020.01.10	08:30:00	1.11076	1.11087	1.11062	1.11087	266	0	8
2020.01.10	09:00:00	1.11088	1.11105	1.11075	1.11085	455	0	8
2020.01.10	09:30:00	1.11085	1.11085	1.11038	1.11065	493	0	8
2020.01.10	10:00:00	1.11066	1.11087	1.11007	1.11011	806	0	8
2020.01.10	10:30:00	1.11010	1.11015	1.10928	1.10989	811	0	6
2020.01.10	11:00:00	1.10989	1.10989	1.10907	1.10940	761	0	7
2020.01.10	11:30:00	1.10940	1.10994	1.10933	1.10959	743	0	1
2020.01.10	12:00:00	1.10959	1.10979	1.10945	1.10967	607	0	9
2020.01.10	12:30:00	1.10966	1.10967	1.10896	1.10923	634	0	7
2020.01.10	13:00:00	1.10920	1.10920	1.10846	1.10916	646	0	9
2020.01.10	13:30:00	1.10917	1.10957	1.10911	1.10926	599	0	8
2020.01.10	14:00:00	1.10924	1.10949	1.10912	1.10949	448	0	9
2020.01.10	14:30:00	1.10949	1.10987	1.10942	1.10979	479	0	10
2020.01.10	15:00:00	1.10978	1.10990	1.10893	1.10916	1014	0	7
2020.01.10	15:30:00	1.10911	1.11132	1.10911	1.10961	2615	0	5
2020.01.10	16:00:00	1.10961	1.10984	1.10856	1.10960	1520	0	6
2020.01.10	16:30:00	1.10959	1.11030	1.10922	1.11003	1249	0	8
2020.01.10	17:00:00	1.10999	1.11112	1.10978	1.11079	1226	0	8
2020.01.10	17:30:00	1.11079	1.11173	1.11072	1.11123	1370	0	6
2020.01.10	18:00:00	1.11124	1.11178	1.11106	1.11149	998	0	8
2020.01.10	18:30:00	1.11149	1.11201	1.11131	1.11175	671	0	8
2020.01.10	19:00:00	1.11175	1.11287	1.11175	1.11256	823	0	8
2020.01.10	19:30:00	1.11255	1.11259	1.11200	1.11219	546	0	7
2020.01.10	20:00:00	1.11218	1.11227	1.11188	1.11202	346	0	8
2020.01.10	20:30:00	1.11201	1.11210	1.11179	1.11180	310	0	8
2020.01.10	21:00:00	1.11180	1.11207	1.11166	1.11203	395	0	8
2020.01.10	21:30:00	1.11203	1.11227	1.11202	1.11216	295	0	8
2020.01.10	22:00:00	1.11217	1.11217	1.11191	1.11196	362	0	8
2020.01.10	22:30:00	1.11195	1.11214	1.11193	1.11206	284	0	9
2020.01.10	23:00:00	1.11206	1.11219	1.11193	1.11195	199	0	8
2020.01.10	23:30:00	1.11199	1.11215	1.11160	1.11160	155	0	10
2020.01.13	00:00:00	1.11150	1.11201	1.11150	1.11190	73	0	11
2020.01.13	00:30:00	1.11190	1.11191	1.11117	1.11159	356	0	14
2020.01.13	01:00:00	1.11161	1.11177	1.11132	1.11155	239	0	10
2020.01.13	01:30:00	1.11155	1.11161	1.11144	1.11156	128	0	6
2020.01.13	02:00:00	1.11156	1.11180	1.11154	1.11158	173	0	7
2020.01.13	02:30:00	1.11158	1.11183	1.11155	1.11183	167	0	8
2020.01.13	03:00:00	1.11182	1.11196	1.11167	1.11194	238	0	9
2020.01.13	03:30:00	1.11193	1.11209	1.11183	1.11207	202	0	7
2020.01.13	04:00:00	1.11208	1.11210	1.11195	1.11202	152	0	8
2020.01.13	04:30:00	1.11202	1.11257	1.11202	1.11253	188	0	8
2020.01.13	05:00:00	1.11253	1.11280	1.11247	1.11260	260	0	10
2020.01.13	05:30:00	1.11261	1.11292	1.11258	1.11288	212	0	7
2020.01.13	06:00:00	1.11289	1.11300	1.11270	1.11288	191	0	8
