time,open,high,low,close,volume,spread
2022.09.26 06:30:00,11265.86,11269.23,11240.98,11243.61,1088,120
2022.09.26 06:45:00,11243.86,11252.73,11242.86,11249.11,932,120
2022.09.26 07:00:00,11248.61,11252.11,11233.61,11246.11,982,120
2022.09.26 07:15:00,11245.48,11256.11,11243.86,11249.61,827,120
2022.09.26 07:30:00,11249.36,11249.73,11238.98,11240.11,883,120
2022.09.26 07:45:00,11240.11,11240.36,11219.11,11222.98,983,120
2022.09.26 08:00:00,11224.36,11235.11,11216.36,11227.11,1178,120
2022.09.26 08:15:00,11227.86,11231.11,11191.98,11198.48,1240,120
2022.09.26 08:30:00,11197.61,11202.36,11192.11,11197.23,1241,95
2022.09.26 08:45:00,11197.36,11211.98,11193.61,11200.48,1082,120
2022.09.26 09:00:00,11200.61,11224.96,11184.46,11184.46,1454,100
2022.09.26 09:15:00,11185.96,11203.08,11185.96,11197.96,1232,50
2022.09.26 09:30:00,11197.46,11216.08,11190.33,11200.83,1232,100
2022.09.26 09:45:00,11202.58,11214.83,11197.33,11205.46,1165,100
2022.09.26 10:00:00,11205.83,11276.83,11200.46,11269.96,2070,62
2022.09.26 10:15:00,11269.96,11349.46,11254.71,11321.58,2058,37
2022.09.26 10:30:00,11321.46,11346.83,11309.21,11332.21,1934,100
2022.09.26 10:45:00,11334.08,11336.96,11274.58,11278.46,1782,100
2022.09.26 11:00:00,11278.58,11290.58,11270.83,11284.58,1773,100
2022.09.26 11:15:00,11284.21,11333.58,11272.58,11331.83,1641,100
2022.09.26 11:30:00,11332.21,11336.33,11300.21,11311.96,1580,75
2022.09.26 11:45:00,11311.96,11319.83,11306.33,11308.58,1387,100
2022.09.26 12:00:00,11308.83,11318.21,11293.21,11293.46,1410,100
2022.09.26 12:15:00,11293.33,11295.58,11256.46,11258.96,1461,100
2022.09.26 12:30:00,11259.71,11262.71,11207.33,11227.46,1673,88
2022.09.26 12:45:00,11227.83,11243.71,11219.58,11233.46,1473,100
2022.09.26 13:00:00,11233.08,11245.71,11218.08,11233.21,1521,100
2022.09.26 13:15:00,11232.96,11266.71,11232.96,11264.71,1475,25
2022.09.26 13:30:00,11265.83,11266.46,11238.21,11249.46,1302,100
2022.09.26 13:45:00,11249.46,11258.46,11238.71,11239.71,1319,100
2022.09.26 14:00:00,11239.21,11245.08,11213.96,11222.21,1439,88
2022.09.26 14:15:00,11221.71,11245.08,11221.71,11242.96,1394,100
2022.09.26 14:30:00,11243.08,11255.21,11236.71,11245.71,1448,87
2022.09.26 14:45:00,11246.08,11249.08,11233.46,11244.33,1290,100
2022.09.26 15:00:00,11245.33,11252.46,11219.96,11222.71,1493,75
2022.09.26 15:15:00,11222.71,11271.83,11220.96,11262.71,1648,100
2022.09.26 15:30:00,11261.96,11269.46,11238.58,11257.46,1659,13
2022.09.26 15:45:00,11257.71,11312.83,11257.46,11312.21,1856,100
2022.09.26 16:00:00,11311.96,11315.08,11281.33,11311.58,1726,50
2022.09.26 16:15:00,11311.46,11313.58,11270.46,11282.33,1694,100
2022.09.26 16:30:00,11280.58,11388.93,11271.08,11352.68,2463,0
2022.09.26 16:45:00,11354.18,11423.18,11345.68,11418.43,2370,42
2022.09.26 17:00:00,11419.93,11447.18,11383.68,11422.43,2400,30
2022.09.26 17:15:00,11422.93,11464.93,11422.93,11450.43,2233,80
2022.09.26 17:30:00,11450.43,11451.93,11392.06,11418.93,2262,30
2022.09.26 17:45:00,11418.68,11420.68,11363.93,11387.18,2270,80
2022.09.26 18:00:00,11386.68,11400.18,11324.93,11353.93,2270,0
2022.09.26 18:15:00,11353.81,11358.68,11305.18,11305.43,2166,80
2022.09.26 18:30:00,11306.68,11342.43,11293.56,11293.56,2273,80
2022.09.26 18:45:00,11293.31,11352.68,11283.68,11341.68,2178,80
2022.09.26 19:00:00,11342.93,11343.18,11304.18,11315.68,2158,80
2022.09.26 19:15:00,11315.68,11329.43,11246.56,11256.68,2176,0
2022.09.26 19:30:00,11256.56,11263.18,11239.18,11242.43,2030,80
2022.09.26 19:45:00,11243.43,11313.18,11239.93,11300.43,2027,80
2022.09.26 20:00:00,11300.18,11303.68,11239.43,11242.43,2008,5
