<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.16	23:00:00	1.11372	1.11377	1.11341	1.11351	376	0	7
2020.01.17	00:00:00	1.11348	1.11374	1.11314	1.11361	475	0	14
2020.01.17	01:00:00	1.11361	1.11372	1.11351	1.11364	310	0	9
2020.01.17	02:00:00	1.11365	1.11388	1.11346	1.11371	609	0	8
2020.01.17	03:00:00	1.11369	1.11386	1.11333	1.11363	574	0	8
2020.01.17	04:00:00	1.11364	1.11421	1.11357	1.11357	615	0	8
2020.01.17	05:00:00	1.11357	1.11373	1.11305	1.11305	489	0	9
2020.01.17	06:00:00	1.11305	1.11331	1.11303	1.11315	331	0	7
2020.01.17	07:00:00	1.11315	1.11371	1.11313	1.11360	366	0	7
2020.01.17	08:00:00	1.11360	1.11399	1.11343	1.11391	503	0	7
2020.01.17	09:00:00	1.11388	1.11408	1.11343	1.11358	998	0	8
2020.01.17	10:00:00	1.11357	1.11391	1.11334	1.11351	1185	0	7
2020.01.17	11:00:00	1.11351	1.11371	1.11242	1.11270	1883	0	3
2020.01.17	12:00:00	1.11271	1.11277	1.11152	1.11155	1540	0	6
2020.01.17	13:00:00	1.11151	1.11151	1.11059	1.11118	1573	0	6
2020.01.17	14:00:00	1.11119	1.11141	1.11054	1.11093	1408	0	7
2020.01.17	15:00:00	1.11093	1.11113	1.10974	1.10999	2038	0	5
2020.01.17	16:00:00	1.11000	1.11056	1.10952	1.11001	1892	0	7
2020.01.17	17:00:00	1.11006	1.11023	1.10857	1.10933	2192	0	6
2020.01.17	18:00:00	1.10935	1.10955	1.10885	1.10913	1393	0	6
2020.01.17	19:00:00	1.10913	1.10944	1.10876	1.10905	782	0	7
2020.01.17	20:00:00	1.10904	1.10938	1.10897	1.10919	639	0	7
2020.01.17	21:00:00	1.10920	1.10941	1.10900	1.10926	486	0	7
2020.01.17	22:00:00	1.10925	1.10928	1.10908	1.10921	475	0	6
2020.01.17	23:00:00	1.10920	1.10924	1.10880	1.10884	417	0	8
2020.01.20	00:00:00	1.10913	1.10919	1.10887	1.10896	530	0	12
2020.01.20	01:00:00	1.10896	1.10941	1.10884	1.10940	316	0	8
2020.01.20	02:00:00	1.10940	1.10980	1.10920	1.10923	460	0	9
2020.01.20	03:00:00	1.10923	1.10972	1.10919	1.10958	508	0	8
2020.01.20	04:00:00	1.10957	1.10968	1.10945	1.10966	323	0	8
2020.01.20	05:00:00	1.10966	1.10984	1.10948	1.10954	327	0	7
2020.01.20	06:00:00	1.10954	1.10961	1.10935	1.10959	290	0	8
2020.01.20	07:00:00	1.10959	1.10983	1.10944	1.10973	312	0	10
2020.01.20	08:00:00	1.10971	1.11005	1.10971	1.10999	612	0	9
2020.01.20	09:00:00	1.11000	1.11019	1.10934	1.10940	1029	0	7
2020.01.20	10:00:00	1.10938	1.10967	1.10881	1.10884	1268	0	8
2020.01.20	11:00:00	1.10886	1.10908	1.10817	1.10891	1482	0	8
2020.01.20	12:00:00	1.10891	1.10900	1.10825	1.10835	817	0	7
2020.01.20	13:00:00	1.10836	1.10877	1.10836	1.10851	588	0	5
2020.01.20	14:00:00	1.10852	1.10867	1.10822	1.10833	574	0	6
2020.01.20	15:00:00	1.10834	1.10852	1.10801	1.10831	824	0	8
2020.01.20	16:00:00	1.10830	1.10840	1.10787	1.10815	698	0	7
2020.01.20	17:00:00	1.10817	1.10847	1.10762	1.10823	792	0	7
2020.01.20	18:00:00	1.10824	1.10855	1.10806	1.10835	686	0	8
2020.01.20	19:00:00	1.10835	1.10863	1.10826	1.10829	429	0	8
2020.01.20	20:00:00	1.10830	1.10902	1.10818	1.10885	530	0	5
2020.01.20	21:00:00	1.10883	1.10914	1.10869	1.10913	780	0	8
